Year,Month,Discharge,Date
1963,1,1.17,1963-01-01
1963,2,1.06,1963-02-01
1963,3,1.13,1963-03-01
1963,4,1.15,1963-04-01
1963,5,1.65,1963-05-01
1963,6,1.13,1963-06-01
1963,7,6.61,1963-07-01
1963,8,7.64,1963-08-01
1963,9,5.75,1963-09-01
1963,10,3.52,1963-10-01
1963,11,2.16,1963-11-01
1963,12,1.75,1963-12-01
1964,1,1.47,1964-01-01
1964,2,1.39,1964-02-01
1964,3,1.17,1964-03-01
1964,4,0.91,1964-04-01
1964,5,1.26,1964-05-01
1964,6,2.21,1964-06-01
1964,7,7.24,1964-07-01
1964,8,12.1,1964-08-01
1964,9,15.2,1964-09-01
1964,10,4.49,1964-10-01
1964,11,1.84,1964-11-01
1964,12,1.5,1964-12-01
1965,1,1.32,1965-01-01
1965,2,1.3,1965-02-01
1965,3,1.22,1965-03-01
1965,4,1.76,1965-04-01
1965,5,1.47,1965-05-01
1965,6,3.73,1965-06-01
1965,7,17.2,1965-07-01
1965,8,18.4,1965-08-01
1965,9,5.71,1965-09-01
1965,10,3.16,1965-10-01
1965,11,2.85,1965-11-01
1965,12,1.77,1965-12-01
1966,1,1.6,1966-01-01
1966,2,1.47,1966-02-01
1966,3,1.17,1966-03-01
1966,4,0.74,1966-04-01
1966,5,1.12,1966-05-01
1966,6,1.14,1966-06-01
1966,7,10.4,1966-07-01
1966,8,20.8,1966-08-01
1966,9,10.3,1966-09-01
1966,10,3.33,1966-10-01
1966,11,2.2,1966-11-01
1966,12,1.73,1966-12-01
1967,1,1.09,1967-01-01
1967,2,0.93,1967-02-01
1967,3,0.86,1967-03-01
1967,4,1.02,1967-04-01
1967,5,0.65,1967-05-01
1967,6,4.53,1967-06-01
1967,7,11.8,1967-07-01
1967,8,6.92,1967-08-01
1967,9,5.65,1967-09-01
1967,10,3.36,1967-10-01
1967,11,2.32,1967-11-01
1967,12,1.7,1967-12-01
1968,1,1.66,1968-01-01
1968,2,1.46,1968-02-01
1968,3,1.63,1968-03-01
1968,4,1.21,1968-04-01
1968,5,1.1,1968-05-01
1968,6,2.52,1968-06-01
1968,7,5.72,1968-07-01
1968,8,6.33,1968-08-01
1968,9,2.62,1968-09-01
1968,10,7.12,1968-10-01
1968,11,2.25,1968-11-01
1968,12,1.47,1968-12-01
1969,1,1.18,1969-01-01
1969,2,0.89,1969-02-01
1969,3,0.87,1969-03-01
1969,4,0.92,1969-04-01
1969,5,0.95,1969-05-01
1969,6,0.88,1969-06-01
1969,7,3.1,1969-07-01
1969,8,6.89,1969-08-01
1969,9,4.18,1969-09-01
1969,10,1.91,1969-10-01
1969,11,1.1,1969-11-01
1969,12,0.83,1969-12-01
1970,1,0.82,1970-01-01
1970,2,0.72,1970-02-01
1970,3,0.64,1970-03-01
1970,4,0.6,1970-04-01
1970,5,0.64,1970-05-01
1970,6,3.42,1970-06-01
1970,7,21.5,1970-07-01
1970,8,8.96,1970-08-01
1970,9,5.26,1970-09-01
1970,10,3.3,1970-10-01
1970,11,2.19,1970-11-01
1970,12,1.46,1970-12-01
1971,1,1.15,1971-01-01
1971,2,1.11,1971-02-01
1971,3,1.1,1971-03-01
1971,4,1.98,1971-04-01
1971,5,2.13,1971-05-01
1971,6,21.6,1971-06-01
1971,7,5.17,1971-07-01
1971,8,7.68,1971-08-01
1971,9,4.27,1971-09-01
1971,10,3.82,1971-10-01
1971,11,2.22,1971-11-01
1971,12,1.86,1971-12-01
1972,1,1.72,1972-01-01
1972,2,1.78,1972-02-01
1972,3,1.62,1972-03-01
1972,4,1.41,1972-04-01
1972,5,1.38,1972-05-01
1972,6,1.45,1972-06-01
1972,7,26.3,1972-07-01
1972,8,5.6,1972-08-01
1972,9,7.92,1972-09-01
1972,10,3.51,1972-10-01
1972,11,1.15,1972-11-01
1972,12,1.58,1972-12-01
1973,1,1.38,1973-01-01
1973,2,1.24,1973-02-01
1973,3,1.58,1973-03-01
1973,4,0.96,1973-04-01
1973,5,1.29,1973-05-01
1973,6,10.2,1973-06-01
1973,7,7.34,1973-07-01
1973,8,7.95,1973-08-01
1973,9,9.51,1973-09-01
1973,10,9.51,1973-10-01
1973,11,5.14,1973-11-01
1973,12,2.74,1973-12-01
1974,1,1.59,1974-01-01
1974,2,1.33,1974-02-01
1974,3,1.14,1974-03-01
1974,4,1.16,1974-04-01
1974,5,1.26,1974-05-01
1974,6,1.66,1974-06-01
1974,7,7.15,1974-07-01
1974,8,15.6,1974-08-01
1974,9,3.5,1974-09-01
1974,10,3.5,1974-10-01
1974,11,1.96,1974-11-01
1974,12,1.5,1974-12-01
1975,1,1.28,1975-01-01
1975,2,1.18,1975-02-01
1975,3,0.88,1975-03-01
1975,4,0.76,1975-04-01
1975,5,1.07,1975-05-01
1975,6,2.11,1975-06-01
1975,7,14.8,1975-07-01
1975,8,11.0,1975-08-01
1975,9,4.7,1975-09-01
1975,10,4.7,1975-10-01
1975,11,2.35,1975-11-01
1975,12,1.67,1975-12-01
1976,1,1.46,1976-01-01
1976,2,1.25,1976-02-01
1976,3,1.02,1976-03-01
1976,4,1.09,1976-04-01
1976,5,1.44,1976-05-01
1976,6,7.96,1976-06-01
1976,7,6.04,1976-07-01
1976,8,4.75,1976-08-01
1976,9,2.3,1976-09-01
1976,10,2.3,1976-10-01
1976,11,1.75,1976-11-01
1976,12,1.45,1976-12-01
1977,1,1.28,1977-01-01
1977,2,1.22,1977-02-01
1977,3,1.07,1977-03-01
1977,4,1.39,1977-04-01
1977,5,1.64,1977-05-01
1977,6,1.57,1977-06-01
1977,7,3.16,1977-07-01
1977,8,3.47,1977-08-01
1977,9,1.8,1977-09-01
1977,10,1.8,1977-10-01
1977,11,1.6,1977-11-01
1977,12,1.63,1977-12-01
1978,1,1.3043937627103348,1978-01-01
1978,2,1.1854009752345283,1978-02-01
1978,3,1.1058568836066796,1978-03-01
1978,4,1.1032700838789447,1978-04-01
1978,5,1.231963370333757,1978-05-01
1978,6,4.275333250013893,1978-06-01
1978,7,9.928784054978566,1978-07-01
1978,8,9.318299319233125,1978-08-01
1978,9,5.7342882964563895,1978-09-01
1978,10,3.836870696162824,1978-10-01
1978,11,2.139283374836781,1978-11-01
1978,12,1.5934686322847125,1978-12-01
1979,1,1.2993809277264698,1979-01-01
1979,2,1.1808454340717,1979-02-01
1979,3,1.1016070334220445,1979-03-01
1979,4,1.099030174864332,1979-04-01
1979,5,1.227228888110523,1979-05-01
1979,6,4.258902981259143,1979-06-01
1979,7,9.89062735913956,1979-07-01
1979,8,9.282488739519437,1979-08-01
1979,9,5.712251207808928,1979-09-01
1979,10,3.822125455726894,1979-10-01
1979,11,2.131062027228142,1979-11-01
1979,12,1.5873448715508287,1979-12-01
1980,1,1.2944080118244303,1980-01-01
1980,2,1.1763261703887857,1980-02-01
1980,3,1.0973910263856104,1980-03-01
1980,4,1.0948240298326615,1980-04-01
1980,5,1.222532108341864,1980-05-01
1980,6,4.242603552886123,1980-06-01
1980,7,9.852774519355716,1980-07-01
1980,8,9.2469633328598,1980-08-01
1980,9,5.690389608749244,1980-09-01
1980,10,3.8074976371613016,1980-10-01
1980,11,2.1229061492886543,1980-11-01
1980,12,1.5812698766164583,1980-12-01
1981,1,1.2894750150042162,1981-01-01
1981,2,1.171843184185785,1981-02-01
1981,3,1.0932088624973775,1981-03-01
1981,4,1.0906516487839333,1981-04-01
1981,5,1.2178730310277799,1981-05-01
1981,6,4.226434964894831,1981-06-01
1981,7,9.815225535627036,1981-07-01
1981,8,9.211723099254217,1981-08-01
1981,9,5.668703499277336,1981-09-01
1981,10,3.7929872404660467,1981-10-01
1981,11,2.1148157410183184,1981-11-01
1981,12,1.575243647481601,1981-12-01
1982,1,1.2845819372658174,1982-01-01
1982,2,1.1673964754626889,1982-02-01
1982,3,1.0890605417573367,1982-03-01
1982,4,1.0865130317181382,1982-04-01
1982,5,1.213251656168261,1982-05-01
1982,6,4.210397217285235,1982-06-01
1982,7,9.777980407953443,1982-07-01
1982,8,9.17676803870261,1982-08-01
1982,9,5.64719287939316,1982-09-01
1982,10,3.778594265641098,1982-10-01
1982,11,2.1067908024171165,1982-11-01
1982,12,1.569266184146244,1982-12-01
1983,1,1.2797287786092544,1983-01-01
1983,2,1.1629860442195157,1983-02-01
1983,3,1.0849460641655058,1983-03-01
1983,4,1.082408178635294,1983-04-01
1983,5,1.2086679837633265,1983-05-01
1983,6,4.194490310057402,1983-06-01
1983,7,9.741039136335091,1983-07-01
1983,8,9.14209815120513,1983-08-01
1983,9,5.625857749096806,1983-09-01
1983,10,3.7643187126865176,1983-10-01
1983,11,2.0988313334850837,1983-11-01
1983,12,1.5633374866104128,1983-12-01
1984,1,1.2749155390345064,1984-01-01
1984,2,1.158611890456247,1984-02-01
1984,3,1.0808654297218672,1984-03-01
1984,4,1.0783370895353832,1984-04-01
1984,5,1.2041220138129571,1984-05-01
1984,6,4.178714243211265,1984-06-01
1984,7,9.704401720771827,1984-07-01
1984,8,9.107713436761626,1984-08-01
1984,9,5.604698108388184,1984-09-01
1984,10,3.7501605816022443,1984-10-01
1984,11,2.090937334222185,1984-11-01
1984,12,1.557457554874082,1984-12-01
1985,1,1.2701422185415838,1985-01-01
1985,2,1.154274014172892,1985-02-01
1985,3,1.0768186384264296,1985-03-01
1985,4,1.0742997644184145,1985-04-01
1985,5,1.1996137463171626,1985-05-01
1985,6,4.1630690167468565,1985-06-01
1985,7,9.668068161263726,1985-07-01
1985,8,9.073613895372176,1985-08-01
1985,9,5.583713957267339,1985-09-01
1985,10,3.736119872388308,1985-10-01
1985,11,2.083108804628438,1985-11-01
1985,12,1.5516263889372646,1985-12-01
1986,1,1.2654088171304867,1986-01-01
1986,2,1.1499724153694506,1986-02-01
1986,3,1.0728056902791931,1986-03-01
1986,4,1.070296203284388,1986-04-01
1986,5,1.195143181275943,1986-05-01
1986,6,4.147554630664178,1986-06-01
1986,7,9.632038457810788,1986-07-01
1986,8,9.039799527036779,1986-08-01
1986,9,5.5629052957342715,1986-09-01
1986,10,3.722196585044709,1986-10-01
1986,11,2.075345744703842,1986-11-01
1986,12,1.54584398879996,1986-12-01
1987,1,1.260715334801215,1987-01-01
1987,2,1.1457070940459233,1987-02-01
1987,3,1.0688265852801575,1987-03-01
1987,4,1.0663264061333033,1987-04-01
1987,5,1.1907103186892982,1987-05-01
1987,6,4.132171084963229,1987-06-01
1987,7,9.596312610413015,1987-07-01
1987,8,9.006270331755433,1987-08-01
1987,9,5.5422721237889805,1987-09-01
1987,10,3.7083907195714474,1987-10-01
1987,11,2.0676481544483982,1987-11-01
1987,12,1.5401103544621686,1987-12-01
1988,1,1.2560617715537687,1988-01-01
1988,2,1.1414780502023096,1988-02-01
1988,3,1.0648813234293233,1988-03-01
1988,4,1.0623903729651611,1988-04-01
1988,5,1.1863151585572285,1988-05-01
1988,6,4.116918379644009,1988-06-01
1988,7,9.560890619070408,1988-07-01
1988,8,8.973026309528139,1988-08-01
1988,9,5.5218144414314665,1988-09-01
1988,10,3.694702275968523,1988-10-01
1988,11,2.0600160338621056,1988-11-01
1988,12,1.5344254859238902,1988-12-01
1989,1,1.2514481273881481,1989-01-01
1989,2,1.1372852838386096,1989-02-01
1989,3,1.0609699047266898,1989-03-01
1989,4,1.0584881037799607,1989-04-01
1989,5,1.1819577008797335,1989-05-01
1989,6,4.101796514706518,1989-06-01
1989,7,9.525772483782964,1989-07-01
1989,8,8.940067460354896,1989-08-01
1989,9,5.5015322486617295,1989-09-01
1989,10,3.6811312542359365,1989-10-01
1989,11,2.052449382944965,1989-11-01
1989,12,1.528789383185125,1989-12-01
1990,1,1.2468744023043425,1990-01-01
1990,2,1.133128794954814,1990-02-01
1990,3,1.057092329172249,1990-03-01
1990,4,1.0546195985776938,1990-04-01
1990,5,1.1776379456568034,1990-05-01
1990,6,4.086805490150723,1990-06-01
1990,7,9.490958204550605,1990-07-01
1990,8,8.907393784235634,1990-08-01
1990,9,5.481425545479724,1990-09-01
1990,10,3.667677654373656,1990-10-01
1990,11,2.0449482016969585,1990-11-01
1990,12,1.5232020462458602,1990-12-01
1991,1,1.2423405963023624,1991-01-01
1991,2,1.1290085835509323,1991-02-01
1991,3,1.0532485967660088,1991-03-01
1991,4,1.050784857358369,1991-04-01
1991,5,1.1733558928884484,1991-05-01
1991,6,4.071945305976657,1991-06-01
1991,7,9.45644778137341,1991-07-01
1991,8,8.87500528117042,1991-08-01
1991,9,5.461494331885496,1991-09-01
1991,10,3.6543414763817137,1991-10-01
1991,11,2.0375124901181034,1991-11-01
1991,12,1.5176634751061084,1991-12-01
1992,1,1.237846709382218,1992-01-01
1992,2,1.1249246496269736,1992-02-01
1992,3,1.0494387075079787,1992-03-01
1992,4,1.046983880121995,1992-04-01
1992,5,1.1691115425746779,1992-05-01
1992,6,4.057215962184355,1992-06-01
1992,7,9.422241214251459,1992-07-01
1992,8,8.842901951159336,1992-08-01
1992,9,5.441738607879091,1992-09-01
1992,10,3.641122720260139,1992-10-01
1992,11,2.030142248208417,1992-11-01
1992,12,1.5121736697658827,1992-12-01
1993,1,1.2333927415438888,1993-01-01
1993,2,1.1208769931829192,1993-02-01
1993,3,1.0456626613981408,1993-03-01
1993,4,1.0432166668685545,1993-04-01
1993,5,1.1649048947154725,1993-05-01
1993,6,4.042617458773747,1993-06-01
1993,7,9.388338503184592,1993-07-01
1993,8,8.811083794202228,1993-08-01
1993,9,5.422158373460417,1993-09-01
1993,10,3.628021386008871,1993-10-01
1993,11,2.022837475967865,1993-11-01
1993,12,1.5067326302251571,1993-12-01
1994,1,1.228978692787385,1994-01-01
1994,2,1.1168656142187787,1994-02-01
1994,3,1.041920458436504,1994-03-01
1994,4,1.039483217598056,1994-04-01
1994,5,1.160735949310842,1994-05-01
1994,6,4.028149795744869,1994-06-01
1994,7,9.35473964817289,1994-07-01
1994,8,8.779550810299172,1994-08-01
1994,9,5.40275362862952,1994-09-01
1994,10,3.61503747362794,1994-10-01
1994,11,2.015598173396465,1994-11-01
1994,12,1.5013403564839447,1994-12-01
1995,1,1.224604563112717,1995-01-01
1995,2,1.1128905127345614,1995-02-01
1995,3,1.038212098623077,1995-03-01
1995,4,1.0357835323105085,1995-04-01
1995,5,1.1566047063607963,1995-05-01
1995,6,4.013812973097755,1995-06-01
1995,7,9.321444649216431,1995-07-01
1995,8,8.748302999450242,1995-08-01
1995,9,5.383524373386446,1995-09-01
1995,10,3.6021709831173774,1995-10-01
1995,11,2.008424340494233,1995-11-01
1995,12,1.4959968485422583,1995-12-01
1996,1,1.2202703525198642,1996-01-01
1996,2,1.1089516887302484,1996-02-01
1996,3,1.0345375819578424,1996-03-01
1996,4,1.032117611005894,1996-04-01
1996,5,1.1525111658653155,1996-05-01
1996,6,3.9996069908323357,1996-06-01
1996,7,9.288453506315058,1996-07-01
1996,8,8.71734036165529,1996-08-01
1996,9,5.3644706077311035,1996-09-01
1996,10,3.5894219144771218,1996-10-01
1996,11,2.0013159772611355,1996-11-01
1996,12,1.490702106400072,1996-12-01
1997,1,1.2159760610088368,1997-01-01
1997,2,1.1050491422058493,1997-02-01
1997,3,1.0308969084408086,1997-03-01
1997,4,1.0284854536842218,1997-04-01
1997,5,1.1484553278244096,1997-05-01
1997,6,3.985531848948646,1997-06-01
1997,7,9.25576621946885,1997-07-01
1997,8,8.686662896914392,1997-08-01
1997,9,5.345592331663537,1997-09-01
1997,10,3.5767902677072034,1997-10-01
1997,11,1.99427308369719,1997-11-01
1997,12,1.485456130057399,1997-12-01
1998,1,1.2117216885796245,1998-01-01
1998,2,1.1011828731613542,1998-02-01
1998,3,1.0272900780719671,1998-03-01
1998,4,1.0248870603454832,1998-04-01
1998,5,1.1444371922380687,1998-05-01
1998,6,3.9715875474466515,1998-06-01
1998,7,9.223382788677725,1998-07-01
1998,8,8.656270605227471,1998-08-01
1998,9,5.326889545183703,1998-09-01
1998,10,3.5642760428075917,1998-10-01
1998,11,1.9872956598023785,1998-11-01
1998,12,1.4802589195142264,1998-12-01
1999,1,1.2075072352322376,1999-01-01
1999,2,1.097352881596773,1999-02-01
1999,3,1.023717090851327,1999-03-01
1999,4,1.0213224309896864,1999-04-01
1999,5,1.1404567591063026,1999-05-01
1999,6,3.9577740863263866,1999-06-01
1999,7,9.191303213941765,1999-07-01
1999,8,8.626163486594601,1999-08-01
1999,9,5.308362248291646,1999-09-01
1999,10,3.551879239778317,1999-10-01
1999,11,1.9803837055767188,1999-11-01
1999,12,1.4751104747705668,1999-12-01
2000,1,1.203332700966676,2000-01-01
2000,2,1.0935591675121057,2000-02-01
2000,3,1.0201779467788876,2000-03-01
2000,4,1.0177915656168317,2000-04-01
2000,5,1.1365140284291115,2000-05-01
2000,6,3.9440914655878507,2000-06-01
2000,7,9.15952749526097,2000-07-01
2000,8,8.596341541015784,2000-08-01
2000,9,5.290010440987365,2000-09-01
2000,10,3.53959985861938,2000-10-01
2000,11,1.9735372210202105,2000-11-01
2000,12,1.4700107958264204,2000-12-01
2001,1,1.19919808578294,2001-01-01
2001,2,1.0898017309073522,2001-02-01
2001,3,1.0166726458546493,2001-03-01
2001,4,1.0142944642269192,2001-04-01
2001,5,1.1326090002064952,2001-05-01
2001,6,3.9305396852310444,2001-06-01
2001,7,9.12805563263534,2001-07-01
2001,8,8.566804768491018,2001-08-01
2001,9,5.271834123270863,2001-09-01
2001,10,3.5274378993307804,2001-10-01
2001,11,1.9667562061328538,2001-11-01
2001,12,1.4649598826817871,2001-12-01
2002,1,1.1951033896810297,2002-01-01
2002,2,1.0860805717825124,2002-02-01
2002,3,1.0132011880786123,2002-03-01
2002,4,1.0108311268199488,2002-04-01
2002,5,1.128741674438454,2002-05-01
2002,6,3.9171187452559675,2002-06-01
2002,7,9.096887626064872,2002-07-01
2002,8,8.537553169020306,2002-08-01
2002,9,5.253833295142137,2002-09-01
2002,10,3.515393361912518,2002-10-01
2002,11,1.9600406609146486,2002-11-01
2002,12,1.4599577353366668,2002-12-01
2003,1,1.1910486126609445,2003-01-01
2003,2,1.0823956901375862,2003-02-01
2003,3,1.0097635734507762,2003-03-01
2003,4,1.0074015533959204,2003-04-01
2003,5,1.1249120511249873,2003-05-01
2003,6,3.90382864566262,2003-06-01
2003,7,9.066023475549569,2003-07-01
2003,8,8.508586742603644,2003-08-01
2003,9,5.2360079566011875,2003-09-01
2003,10,3.503466246364593,2003-10-01
2003,11,1.9533905853655948,2003-11-01
2003,12,1.4550043537910597,2003-12-01
2004,1,1.187033754722685,2004-01-01
2004,2,1.078747085972574,2004-02-01
2004,3,1.006359801971141,2004-03-01
2004,4,1.0040057439548342,2004-04-01
2004,5,1.1211201302660958,2004-05-01
2004,6,3.890669386451002,2004-06-01
2004,7,9.035463181089431,2004-07-01
2004,8,8.479905489241036,2004-08-01
2004,9,5.218358107648016,2004-09-01
2004,10,3.491656552687006,2004-10-01
2004,11,1.9468059794856927,2004-11-01
2004,12,1.4500997380449658,2004-12-01
2005,1,1.1830588158662405,2005-01-01
2005,2,1.075134759287466,2005-02-01
2005,3,1.0029898736396983,2005-03-01
2005,4,1.0006436984966816,2005-04-01
2005,5,1.1173659118617691,2005-05-01
2005,6,3.877640967621079,2005-06-01
2005,7,9.005206742684377,2005-07-01
2005,8,8.451509408932404,2005-08-01
2005,9,5.200883748282576,2005-09-01
2005,10,3.479964280879725,2005-10-01
2005,11,1.940286843274925,2005-11-01
2005,12,1.4452438880983722,2005-12-01
2006,1,0.7297713213883825,2006-01-01
2006,2,0.8218235824853297,2006-02-01
2006,3,0.6237650334543544,2006-03-01
2006,4,0.3867384900699571,2006-04-01
2006,5,0.29707587117327,2006-05-01
2006,6,1.6856428238862888,2006-06-01
2006,7,7.244421869976475,2006-07-01
2006,8,9.987471578087645,2006-08-01
2006,9,6.041148224968096,2006-09-01
2006,10,6.933416115324726,2006-10-01
2006,11,1.6474786859879942,2006-11-01
2006,12,1.894007931921831,2006-12-01
2007,1,1.397903360049489,2007-01-01
2007,2,0.9412981896567764,2007-02-01
2007,3,1.0266472321111366,2007-03-01
2007,4,0.6748624059984297,2007-04-01
2007,5,0.8542487132247686,2007-05-01
2007,6,3.117029510902836,2007-06-01
2007,7,10.375187459439,2007-07-01
2007,8,8.541734982664716,2007-08-01
2007,9,5.453018836000138,2007-09-01
2007,10,4.968065730263208,2007-10-01
2007,11,2.2218132972387443,2007-11-01
2007,12,1.7748147880806195,2007-12-01
2008,1,1.4253188836344273,2008-01-01
2008,2,1.7027573889485097,2008-02-01
2008,3,1.0287512270714347,2008-03-01
2008,4,1.00606350890189,2008-04-01
2008,5,1.2427324208265922,2008-05-01
2008,6,4.162618804740172,2008-06-01
2008,7,6.927611371957684,2008-07-01
2008,8,7.888400524997504,2008-08-01
2008,9,6.096448303196137,2008-09-01
2008,10,5.944186357923547,2008-10-01
2008,11,1.7204880251567365,2008-11-01
2008,12,2.123358023765799,2008-12-01
2009,1,1.2287879233179209,2009-01-01
2009,2,1.2502381304437298,2009-02-01
2009,3,0.7532234124425344,2009-03-01
2009,4,0.5276353562861822,2009-04-01
2009,5,0.638126821219056,2009-05-01
2009,6,3.046216509524994,2009-06-01
2009,7,7.850213789003695,2009-07-01
2009,8,7.557971455938051,2009-08-01
2009,9,5.509356827041092,2009-09-01
2009,10,3.5522559062141577,2009-10-01
2009,11,2.9340919281217257,2009-11-01
2009,12,1.61182063448498,2009-12-01
2010,1,1.2299385886892489,2010-01-01
2010,2,0.9232516490643964,2010-02-01
2010,3,0.6481904940625225,2010-03-01
2010,4,0.6571596006727998,2010-04-01
2010,5,0.9308398251941306,2010-05-01
2010,6,3.749360362847425,2010-06-01
2010,7,7.567719350730859,2010-07-01
2010,8,9.536003632277868,2010-08-01
2010,9,6.0397471069987,2010-09-01
2010,10,3.766380069656309,2010-10-01
2010,11,1.4650944147481624,2010-11-01
2010,12,1.2194033072953168,2010-12-01
2011,1,0.9717259681229924,2011-01-01
2011,2,0.7559657421426405,2011-02-01
2011,3,0.9293795463667096,2011-03-01
2011,4,0.6416714477773549,2011-04-01
2011,5,0.5448504525420235,2011-05-01
2011,6,2.3814403971223848,2011-06-01
2011,7,9.768352026934943,2011-07-01
2011,8,8.257922542214283,2011-08-01
2011,9,4.339696985990729,2011-09-01
2011,10,3.0502758278813125,2011-10-01
2011,11,2.405880332370756,2011-11-01
2011,12,1.3058771613222604,2011-12-01
2012,1,1.6425785255160894,2012-01-01
2012,2,1.3813164871906305,2012-02-01
2012,3,0.7999864896494087,2012-03-01
2012,4,0.966801765550371,2012-04-01
2012,5,0.7215701847779422,2012-05-01
2012,6,3.104907714236999,2012-06-01
2012,7,7.848107594364769,2012-07-01
2012,8,8.314399744837246,2012-08-01
