Month,Baseline_Discharge (mÂ³/s),2020s,2050s,2080s
Jan,1.263518258964218,-4.486415544019845,-19.640525911828963,-22.646431179594767
Feb,1.149253315386788,-16.137354606612785,-18.342447127564004,-24.33527083272092
Mar,1.0526199279633996,-21.73703361120007,-16.82343387809413,-4.785591449120089
Apr,1.0276248644675128,-32.576922482557364,-11.410128723400163,14.335521022315268
May,1.1507495394760352,-31.285642889415705,-10.500482456318665,-6.83321119475164
Jun,4.044482263482622,-23.686303580443326,-16.547984451510978,-14.98397578514578
Jul,9.547788996264941,-9.912151058386014,-10.78934900587512,-13.116235856277092
Aug,9.064688029550538,-17.33062923945822,-15.327289613585263,-21.60365508865631
Sep,5.611313733995337,-12.986013307977984,-21.652129684716876,-32.92139184265016
Oct,3.8732231155561845,4.012051636094709,-22.55408866922425,-39.36097931522319
Nov,2.091461028961664,2.88660959491669,-27.062367993216906,-39.8947589313153
Dec,1.572068954135394,-9.304758085936971,-26.76824395684987,-30.84153055122459
Annual,3.4540660023503866,-12.787548254546413,-16.980678217271716,-21.846814855357398
